course_id,provider,institution,title,subject,url,price,level,num_subscribers,num_lectures,num_reviews,rating,content_duration,language,published_timestamp
open-source-tools-for-data-science,coursera,IBM,Tools for Data Science,,https://www.coursera.org/learn/open-source-tools-for-data-science,0,,0,0,2887.0,4.012816072047108,0,,2018-07-07
deep-neural-network,coursera,DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",,https://www.coursera.org/learn/deep-neural-network,0,,0,0,6165.0,4.801784266017843,0,,2017-08-12
diversity-inclusion-workplace,coursera,ESSEC Business School,Diversity and inclusion in the workplace,,https://www.coursera.org/learn/diversity-inclusion-workplace,0,,0,0,120.0,4.658333333333333,0,,2017-04-13
clinical-trials,coursera,Johns Hopkins University,Design and Interpretation of Clinical Trials,,https://www.coursera.org/learn/clinical-trials,0,,0,0,471.0,4.736730360934183,0,,2016-03-12
visual-elements-user-interface-design,coursera,California Institute of the Arts,Visual Elements of User Interface Design,,https://www.coursera.org/learn/visual-elements-user-interface-design,0,,0,0,760.0,4.6,0,,2018-09-29
mafash,coursera,Università Bocconi,Management of Fashion and Luxury Companies,,https://www.coursera.org/learn/mafash,0,,0,0,956.0,4.711297071129708,0,,2015-08-14
pap,coursera,Universitat Autònoma de Barcelona,Primeros Auxilios Psicológicos (PAP),,https://www.coursera.org/learn/pap,0,,0,0,2697.0,4.870596959584724,0,,2015-10-07
social-psychology,coursera,Wesleyan University,Social Psychology,,https://www.coursera.org/learn/social-psychology,0,,0,0,1251.0,4.83453237410072,0,,2018-10-28
project-planning,coursera,"University of California, Irvine",Initiating and Planning Projects,,https://www.coursera.org/learn/project-planning,0,,0,0,2961.0,4.714285714285714,0,,2015-08-07
computational-thinking-problem-solving,coursera,University of Pennsylvania,Computational Thinking for Problem Solving,,https://www.coursera.org/learn/computational-thinking-problem-solving,0,,0,0,259.0,4.625482625482626,0,,2018-10-24
agile-atlassian-jira,coursera,Atlassian,Agile with Atlassian Jira,,https://www.coursera.org/learn/agile-atlassian-jira,0,,0,0,719.0,4.663421418636996,0,,2018-08-14
fundamentals-of-graphic-design,coursera,California Institute of the Arts,Fundamentals of Graphic Design,,https://www.coursera.org/learn/fundamentals-of-graphic-design,0,,0,0,2815.0,4.779751332149201,0,,2015-10-15
user-experience-design,coursera,Georgia Institute of Technology,Introduction to User Experience Design,,https://www.coursera.org/learn/user-experience-design,0,,0,0,777.0,4.4774774774774775,0,,2016-07-26
wharton-marketing,coursera,University of Pennsylvania,Introduction to Marketing,,https://www.coursera.org/learn/wharton-marketing,0,,0,0,1882.0,4.746014877789586,0,,2015-11-05
python-for-applied-data-science-ai,coursera,IBM,Python for Data Science and AI,,https://www.coursera.org/learn/python-for-applied-data-science-ai,0,,0,0,2875.0,4.291478260869566,0,,2018-06-06
uva-darden-market-analytics,coursera,University of Virginia,Marketing Analytics,,https://www.coursera.org/learn/uva-darden-market-analytics,0,,0,0,1452.0,4.660468319559229,0,,2015-11-11
classification-vector-spaces-in-nlp,coursera,DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,,https://www.coursera.org/learn/classification-vector-spaces-in-nlp,0,,0,0,328.0,4.402439024390244,0,,2020-06-19
wharton-quantitative-modeling,coursera,University of Pennsylvania,Fundamentals of Quantitative Modeling,,https://www.coursera.org/learn/wharton-quantitative-modeling,0,,0,0,1270.0,4.537007874015748,0,,2016-02-09
remote-team-management,coursera,GitLab,How to Manage a Remote Team,,https://www.coursera.org/learn/remote-team-management,0,,0,0,5.0,5.0,0,,2020-09-23
linear-algebra-machine-learning,coursera,Imperial College London,Mathematics for Machine Learning: Linear Algebra,,https://www.coursera.org/learn/linear-algebra-machine-learning,0,,0,0,1643.0,4.57273280584297,0,,2018-03-08
python-data-analysis,coursera,University of Michigan,Introduction to Data Science in Python,,https://www.coursera.org/learn/python-data-analysis,0,,0,0,4912.0,4.234324104234528,0,,2016-10-27
wharton-customer-analytics,coursera,University of Pennsylvania,Customer Analytics,,https://www.coursera.org/learn/wharton-customer-analytics,0,,0,0,2042.0,4.451518119490696,0,,2015-09-18
introduction-psych,coursera,University of Toronto,Introduction to Psychology,,https://www.coursera.org/learn/introduction-psych,0,,0,0,1182.0,4.8815566835871405,0,,2016-10-20
careerdevelopment,coursera,University of Pennsylvania,English for Career Development,,https://www.coursera.org/learn/careerdevelopment,0,,0,0,2953.0,4.865221808330511,0,,2016-10-10
global-diplomacy,coursera,University of London,Global Diplomacy – Diplomacy in the Modern World,,https://www.coursera.org/learn/global-diplomacy,0,,0,0,768.0,4.639322916666667,0,,2016-04-02
game-theory-1,coursera,Stanford University,Game Theory,,https://www.coursera.org/learn/game-theory-1,0,,0,0,,,0,,
sql-for-data-science,coursera,"University of California, Davis",SQL for Data Science,,https://www.coursera.org/learn/sql-for-data-science,0,,0,0,1851.0,4.494867639113992,0,,2017-11-17
professional-emails-english,coursera,Georgia Institute of Technology,Write Professional Emails in English,,https://www.coursera.org/learn/professional-emails-english,0,,0,0,3090.0,4.801294498381877,0,,2016-02-13
medical-neuroscience,coursera,Duke University,Medical Neuroscience,,https://www.coursera.org/learn/medical-neuroscience,0,,0,0,532.0,4.904135338345864,0,,2016-06-06
system-administration-it-infrastructure-services,coursera,Google,System Administration and IT Infrastructure Services,,https://www.coursera.org/learn/system-administration-it-infrastructure-services,0,,0,0,1823.0,4.657158529895776,0,,2018-01-25
womens-health-human-rights,coursera,Stanford University,International Women's Health and Human Rights,,https://www.coursera.org/learn/womens-health-human-rights,0,,0,0,242.0,4.884297520661157,0,,2017-07-12
childnutrition,coursera,Stanford University,Child Nutrition and Cooking,,https://www.coursera.org/learn/childnutrition,0,,0,0,2118.0,4.770538243626063,0,,2015-08-07
neurobiology,coursera,The University of Chicago,Understanding the Brain: The Neurobiology of Everyday Life,,https://www.coursera.org/learn/neurobiology,0,,0,0,507.0,4.897435897435898,0,,2016-10-09
social-media-marketing-introduction,coursera,Facebook,Introduction to Social Media Marketing,,https://www.coursera.org/learn/social-media-marketing-introduction,0,,0,0,48.0,4.8125,0,,2020-09-18
forensic-accounting,coursera,West Virginia University,Forensic Accounting and Fraud Examination,,https://www.coursera.org/learn/forensic-accounting,0,,0,0,873.0,4.701030927835052,0,,2016-02-03
clinical-terminology,coursera,University of Pittsburgh,Clinical Terminology for International and U.S. Students,,https://www.coursera.org/learn/clinical-terminology,0,,0,0,401.0,4.815461346633416,0,,2016-11-28
science-exercise,coursera,University of Colorado Boulder,Science of Exercise,,https://www.coursera.org/learn/science-exercise,0,,0,0,994.0,4.836016096579477,0,,2017-06-22
uva-darden-digital-product-management,coursera,University of Virginia,Digital Product Management: Modern Fundamentals,,https://www.coursera.org/learn/uva-darden-digital-product-management,0,,0,0,741.0,4.727395411605938,0,,2017-05-01
datasciencemathskills,coursera,Duke University,Data Science Math Skills,,https://www.coursera.org/learn/datasciencemathskills,0,,0,0,1758.0,4.449943117178612,0,,2017-01-15
machine-learning-projects,coursera,DeepLearning.AI,Structuring Machine Learning Projects,,https://www.coursera.org/learn/machine-learning-projects,0,,0,0,4885.0,4.707471852610031,0,,2017-08-11
american-law,coursera,University of Pennsylvania,An Introduction to American Law,,https://www.coursera.org/learn/american-law,0,,0,0,735.0,4.835374149659864,0,,2015-09-13
content-marketing,coursera,"University of California, Davis",The Strategy of Content Marketing,,https://www.coursera.org/learn/content-marketing,0,,0,0,812.0,4.465517241379311,0,,2017-02-06
introduction-cybersecurity-cyber-attacks,coursera,IBM,Introduction to Cybersecurity Tools & Cyber Attacks,,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,0,,0,0,1206.0,4.274461028192372,0,,2019-07-19
data-scientists-tools,coursera,Johns Hopkins University,The Data Scientist’s Toolbox,,https://www.coursera.org/learn/data-scientists-tools,0,,0,0,6022.0,4.4799070076386585,0,,2015-12-01
animal-welfare,coursera,The University of Edinburgh,Animal Behaviour and Welfare,,https://www.coursera.org/learn/animal-welfare,0,,0,0,800.0,4.8075,0,,2015-11-02
convolutional-neural-networks-tensorflow,coursera,DeepLearning.AI,Convolutional Neural Networks in TensorFlow,,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,0,,0,0,807.0,4.469640644361834,0,,2019-04-21
positive-psychology-visionary-science,coursera,University of Pennsylvania,Positive Psychology: Martin E. P. Seligman’s Visionary Science,,https://www.coursera.org/learn/positive-psychology-visionary-science,0,,0,0,1328.0,4.86144578313253,0,,2017-04-02
cancer,coursera,Johns Hopkins University,Introduction to the Biology of Cancer,,https://www.coursera.org/learn/cancer,0,,0,0,992.0,4.803427419354839,0,,2016-04-11
convolutional-neural-networks,coursera,DeepLearning.AI,Convolutional Neural Networks,,https://www.coursera.org/learn/convolutional-neural-networks,0,,0,0,1293.0,3.855375096674401,0,,2017-11-03
python-network-data,coursera,University of Michigan,Using Python to Access Web Data,,https://www.coursera.org/learn/python-network-data,0,,0,0,6485.0,4.714109483423284,0,,2015-10-27
physiology,coursera,Duke University,Introductory Human Physiology,,https://www.coursera.org/learn/physiology,0,,0,0,719.0,4.780250347705146,0,,2015-08-07
systematic-review,coursera,Johns Hopkins University,Introduction to Systematic Review and Meta-Analysis,,https://www.coursera.org/learn/systematic-review,0,,0,0,567.0,4.774250440917108,0,,2016-03-22
organizational-analysis,coursera,Stanford University,Organizational Analysis,,https://www.coursera.org/learn/organizational-analysis,0,,0,0,,,0,,
communication-strategies-virtual-age,coursera,University of Toronto,Communication Strategies for a Virtual Age,,https://www.coursera.org/learn/communication-strategies-virtual-age,0,,0,0,858.0,4.847319347319347,0,,2018-08-28
moral-politics,coursera,Yale University,Moral Foundations of Politics,,https://www.coursera.org/learn/moral-politics,0,,0,0,698.0,4.871060171919771,0,,2015-08-14
etudier-en-france,coursera,École Polytechnique,Étudier en France: French Intermediate course B1-B2,,https://www.coursera.org/learn/etudier-en-france,0,,0,0,820.0,4.845121951219512,0,,2016-12-09
company-future-management,coursera,London Business School,Managing the Company of the Future,,https://www.coursera.org/learn/company-future-management,0,,0,0,818.0,4.842298288508557,0,,2016-01-25
finance-for-non-finance,coursera,Rice University,Finance for Non-Finance Professionals,,https://www.coursera.org/learn/finance-for-non-finance,0,,0,0,372.0,4.814516129032258,0,,2016-10-14
site-reliability-engineering-slos,coursera,Google Cloud,Site Reliability Engineering: Measuring and Managing Reliability,,https://www.coursera.org/learn/site-reliability-engineering-slos,0,,0,0,147.0,4.163265306122449,0,,2019-02-15
autism-spectrum-disorder,coursera,"University of California, Davis",Autism Spectrum Disorder,,https://www.coursera.org/learn/autism-spectrum-disorder,0,,0,0,482.0,4.634854771784233,0,,2015-12-18
data-science-methodology,coursera,IBM,Data Science Methodology,,https://www.coursera.org/learn/data-science-methodology,0,,0,0,1714.0,4.338389731621937,0,,2018-04-20
wharton-accounting,coursera,University of Pennsylvania,Introduction to Financial Accounting,,https://www.coursera.org/learn/wharton-accounting,0,,0,0,1479.0,4.755240027045301,0,,2015-11-04
marketing-digital,coursera,University of Illinois at Urbana-Champaign,Marketing in a Digital World,,https://www.coursera.org/learn/marketing-digital,0,,0,0,3839.0,4.725449335764522,0,,2015-08-07
wind-energy,coursera,Technical University of Denmark (DTU),Wind Energy,,https://www.coursera.org/learn/wind-energy,0,,0,0,1252.0,4.717252396166134,0,,2016-03-03
sustainable-finance,coursera,Erasmus University Rotterdam,Principles of Sustainable Finance,,https://www.coursera.org/learn/sustainable-finance,0,,0,0,48.0,4.833333333333333,0,,2020-05-18
financial-engineering-1,coursera,Columbia University,Financial Engineering and Risk Management Part I,,https://www.coursera.org/learn/financial-engineering-1,0,,0,0,408.0,4.365196078431373,0,,2015-08-08
philosophy,coursera,The University of Edinburgh,Introduction to Philosophy,,https://www.coursera.org/learn/philosophy,0,,0,0,1511.0,4.698874917273329,0,,2015-08-07
analytics-business-metrics,coursera,Duke University,Business Metrics for Data-Driven Companies,,https://www.coursera.org/learn/analytics-business-metrics,0,,0,0,1464.0,4.55396174863388,0,,2015-09-06
python-basics,coursera,University of Michigan,Python Basics,,https://www.coursera.org/learn/python-basics,0,,0,0,2287.0,4.794927853082641,0,,2018-12-14
