course_id,provider,institution,title,subject,url,price,level,num_subscribers,num_lectures,num_reviews,rating,content_duration,language,published_timestamp
u-724824,udemy,udemy,Photoshop　中級者、上級者がプロになるために最後に学ぶ「超絶技巧」テクニック,Graphic Design,https://www.udemy.com/photoshop-s/,85,Intermediate Level,113,39,5,,4.5,,2016-01-12
u-883324,udemy,udemy,Corel Draw X7: Mão na Massa,Graphic Design,https://www.udemy.com/corel-draw-x7-mao-na-massa/,25,Beginner Level,72,40,13,,4.0,,2016-06-20
u-502204,udemy,udemy,Dibujo digital básico: cómo ilustrar en Photoshop,Graphic Design,https://www.udemy.com/dibujo-digital-basico-como-ilustrar-en-photoshop/,20,Beginner Level,155,90,36,,5.0,,2016-02-17
u-283038,udemy,udemy,Adobe Illustrator CS6 باللغة العربية,Graphic Design,https://www.udemy.com/adobe-illustrator-cs6-kottab/,35,All Levels,48,74,15,,8.0,,2014-09-14
u-650720,udemy,udemy,Creare un logo con Adobe Illustrator,Graphic Design,https://www.udemy.com/crea-il-tuo-logo-con-adobe-illustrator/,0,All Levels,1447,13,121,,1.0,,2015-10-29
u-586680,udemy,udemy,Mestres do Photoshop,Graphic Design,https://www.udemy.com/mestres-do-photoshop/,30,All Levels,86,52,18,,5.5,,2015-08-21
u-899240,udemy,udemy,illustrator CC 2015.3 - Curso básico de ferramentas,Graphic Design,https://www.udemy.com/illustratorcc20153/,20,Beginner Level,13,12,6,,1.0,,2016-07-08
u-520876,udemy,udemy,Plantillas Powerpoint para Publicar en Mercadolibre y Ebay,Graphic Design,https://www.udemy.com/publicacion-rapida-y-profesional-en-mercadolibre/,35,All Levels,15,32,5,,2.0,,2015-06-08
u-1083784,udemy,udemy,Crie seu Cartão de Visita no CorelDRAW X8,Graphic Design,https://www.udemy.com/crie-seu-cartao-de-visita-no-coreldraw-x8/,20,Beginner Level,28,38,3,,4.0,,2017-03-02
u-651352,udemy,udemy,Curso de Maya 3D,Graphic Design,https://www.udemy.com/curso-de-maya-3d/,20,All Levels,62,41,9,,4.0,,2016-02-09
u-968268,udemy,udemy,Photoshop: Organización de eventos y decoración de fiestas,Graphic Design,https://www.udemy.com/curso-de-photoshop-como-hacer-todo-para-tu-fiesta-tematica/,120,Beginner Level,125,56,5,,8.5,,2016-10-18
u-479760,udemy,udemy,Podcast Cover Art | Design Like the Best,Graphic Design,https://www.udemy.com/podcast-graphic-design/,20,All Levels,33,7,2,,1.0,,2015-04-22
u-134690,udemy,udemy,Learn Drawing and Painting a Landscape with Oil Colours,Graphic Design,https://www.udemy.com/learn-drawing-and-painting-a-landscape-with-oil-colours/,20,Intermediate Level,51,20,2,,2.0,,2014-01-14
u-692918,udemy,udemy,Enhance your chroma key with an animated Slides background,Graphic Design,https://www.udemy.com/enhance-your-chroma-key-with-an-animated-slides-background/,25,Intermediate Level,361,9,2,,1.0,,2016-07-04
u-1092632,udemy,udemy,The Complete Motion Graphic Course,Graphic Design,https://www.udemy.com/complete-motion-graphic-course/,65,All Levels,50,115,6,,9.5,,2017-02-01
u-753154,udemy,udemy,Making Corporate Flyers in Photoshop,Graphic Design,https://www.udemy.com/making-corporate-flyers-in-photoshop/,20,All Levels,4,7,3,,0.5166666666666666,,2016-02-05
u-46524,udemy,udemy,Rock-Solid Brands,Graphic Design,https://www.udemy.com/rock-solid-brands/,20,Beginner Level,134,13,4,,0.5166666666666666,,2016-02-17
u-634480,udemy,udemy,Typographic Poster Design - From Sketch to Vector,Graphic Design,https://www.udemy.com/typographic-poster-design-from-sketch-to-vector/,45,Intermediate Level,36,20,5,,1.5,,2015-10-08
u-771044,udemy,udemy,"Make Money With Photoshop: Logos, Business Cards & Brochures",Graphic Design,https://www.udemy.com/make-money-with-photoshop-logos-business-cards-brochures/,100,All Levels,32,21,4,,5.0,,2016-08-14
u-497268,udemy,udemy,Photoshop the Art of Clipart,Graphic Design,https://www.udemy.com/photoshop-the-art-of-clipart/,20,Beginner Level,30,22,3,,1.0,,2015-07-05
u-435138,udemy,udemy,Adobe Illustrator Creative Cloud:  Mastering the Upgrades,Graphic Design,https://www.udemy.com/learn-illustrator-cc-updates/,20,Intermediate Level,22,57,3,,2.0,,2015-03-16
u-334530,udemy,udemy,Illustrator 101: Learn Quickly and Easily to create Artwork,Graphic Design,https://www.udemy.com/make-money-freelancing-after-this-illustrator-course/,40,All Levels,452,37,3,,1.0,,2014-11-25
u-904144,udemy,udemy,Design Your Own Fonts. Plus A Bunch Of Typography Secrets.,Graphic Design,https://www.udemy.com/design-your-own-fonts/,40,All Levels,67,25,8,,1.0,,2016-07-14
u-397946,udemy,udemy,Easy Steps To Become A Photoshop Expert,Graphic Design,https://www.udemy.com/easy-steps-to-become-a-photoshop-expert/,20,All Levels,1081,47,11,,8.0,,2015-01-29
u-561800,udemy,udemy,Intro to Adobe Illustrator,Graphic Design,https://www.udemy.com/intro-to-adobe-illustrator/,20,Beginner Level,189,55,13,,6.0,,2015-08-07
u-810234,udemy,udemy,Beginners Guide: Photoshop Poster/Artwork,Graphic Design,https://www.udemy.com/do-it-yourself-learn-photoshop-postersflyers-creation/,20,Beginner Level,775,6,5,,1.0,,2016-04-02
u-559046,udemy,udemy,Basic Graphic Design for PowerPoint,Graphic Design,https://www.udemy.com/basic-graphic-design-for-powerpoint/,20,Beginner Level,88,14,8,,1.0,,2015-07-26
u-338308,udemy,udemy,Master Graphic Design Using Photoshop with Rachael,Graphic Design,https://www.udemy.com/become-a-master-of-photoshop-in-3-hours-guaranteed/,25,All Levels,598,13,22,,1.5,,2014-11-07
