course_id,rating,reviewers,date_reviews
getting-started-with-google-sheets,4.562162162162162,185,2019-11-05
getting-started-with-tensor-flow2,4.882352941176471,51,2020-04-22
gis,4.852253756260434,1198,2016-02-22
global-diplomacy,4.639322916666667,768,2016-04-02
global-diplomacy-un,4.679310344827586,290,2017-06-24
global-energy,4.720125786163522,318,2016-05-09
global-environmental-management,4.657243816254417,283,2016-10-13
global-financial-crisis,4.8557457212713935,409,2015-11-13
global-financial-markets-instruments,4.307984790874524,263,2016-10-20
global-sustainable-development,4.794520547945205,657,2018-02-03
globalenergyandclimatepolicy,4.621359223300971,103,2017-07-03
golang-getting-started,4.404458598726115,314,2018-09-18
golang-webservices-1,4.691489361702128,94,2017-12-30
google-cbrs-cpi-training,4.818181818181818,33,2019-06-07
google-cloud-java-spring,3.94300518134715,193,2019-02-27
google-cloud-product-fundamentals,4.619565217391305,92,2020-03-06
google-kubernetes-engine,4.245696400625978,639,2017-11-27
google-machine-learning,4.487019730010384,963,2018-03-03
grammar-punctuation,4.75310008857396,4516,2015-09-04
gte-sustainable-cities,4.59463986599665,597,2016-01-22
guitar,4.726591760299626,534,2015-08-10
healing-with-the-arts,4.716814159292035,226,2017-03-02
health-behavior-change,4.925925925925926,27,2020-04-22
healthcarejobs,4.2727272727272725,11,2016-08-11
high-stakes-leadership,4.777777777777778,27,2020-06-20
horse-care,4.907407407407407,270,2015-12-23
how-things-work,4.808064516129032,620,2015-08-08
html,3.9888089528377297,1251,2015-09-06
html-css-javascript-for-web-developers,4.758631512868801,3186,2016-02-16
human-language,4.666666666666667,483,2016-05-09
human-needs,4.431095406360424,283,2017-04-07
humanrights,4.767123287671233,73,2016-12-13
ibm-customer-engagement-specialist,4.811111111111111,180,2018-10-27
ibm-penetration-testing-incident-response-forensics,4.435294117647059,85,2020-06-13
iiot-google-cloud-platform,4.5316239316239315,585,2019-02-03
immunologyfundamentalsimmunitybcells,4.758620689655173,203,2019-02-06
indigenous-canada,4.816438356164384,1460,2017-04-09
industrial-biotech,4.587743732590529,359,2017-07-27
information-security-data,4.65406976744186,344,2017-02-15
information-systems-audit,4.700440528634362,227,2020-02-09
infrastructure-investing,4.842696629213483,356,2016-07-12
initiating-planning,4.764331210191083,471,2017-06-18
innovation-management,4.636075949367089,316,2016-04-23
innovation-through-design,4.757894736842105,95,2018-07-11
instructional-design-foundations-applications,3.860215053763441,93,2019-01-14
intercultural,4.444444444444445,63,2017-05-23
international-criminal-law,4.835548172757475,602,2015-08-07
international-humanitarian-law,4.842931937172775,191,2018-11-28
international-law-in-action,4.751412429378531,177,2016-01-20
international-migrations,4.316666666666666,60,2018-02-21
international-organizations-management,4.801418439716312,282,2018-05-21
international-relations-theory,4.59433962264151,106,2018-03-16
international-security-management,4.658227848101266,79,2020-02-17
international-taxation,4.854460093896714,213,2015-11-20
intro-accounting-data-analytics-visual,4.883720930232558,43,2019-08-28
intro-business-analytics,4.563106796116505,103,2018-12-11
intro-chemistry,4.825842696629214,178,2016-08-29
intro-common-law,4.8392156862745095,255,2018-10-12
intro-data-science-programacion-estadistica-r,4.732971165900543,2393,2016-03-02
intro-economic-theories,4.136363636363637,44,2017-08-16
intro-programming,4.800595238095238,672,2015-08-13
intro-self-driving-cars,4.647590361445783,332,2019-02-04
intro-sql,4.739130434782608,713,2017-10-25
intro-to-healthcare,4.0,6,2020-09-09
introancientegypt,4.616487455197133,558,2016-11-01
introclassicalmusic,4.909090909090909,792,2015-12-16
introcss,4.790759075907591,1515,2015-10-19
introduction-blockchain-technologies,4.711920529801325,302,2019-03-26
introduction-cybersecurity-cyber-attacks,4.274461028192372,1206,2019-07-19
introduction-embedded-systems,4.275229357798165,109,2017-05-31
introduction-g-suite,4.619596541786744,347,2019-07-26
introduction-genomics,4.477894736842106,475,2016-01-27
introduction-git-github,4.791848617176128,687,2020-01-22
introduction-intellectual-property,4.753086419753086,81,2019-07-02
introduction-portfolio-construction-python,4.769230769230769,195,2019-10-20
introduction-programming-unity,4.672544080604534,397,2018-01-26
introduction-psych,4.8815566835871405,1182,2016-10-20
introduction-psychology,4.852736318407961,3015,2018-11-21
introduction-statistics-data-analysis-public-health,4.67515923566879,157,2019-02-28
introduction-tensorflow,4.650616332819722,2596,2019-03-07
introduction-to-ai,4.737288135593221,1298,2019-06-28
introduction-to-calculus,4.878402903811252,551,2018-12-28
introduction-to-cloud,4.819277108433735,83,2020-04-25
introduction-to-computer-programming,3.920289855072464,138,2018-10-04
introduction-to-computers-and-office-productivity-software,4.6,35,2020-07-20
introduction-to-data-analytics,4.777777777777778,18,2020-09-18
introduction-to-software-product-management,4.548746518105849,1077,2015-10-05
introduction-trading-machine-learning-gcp,3.463768115942029,138,2019-12-20
introtoux-principles-and-processes,4.7591623036649215,191,2018-12-12
investment-management,4.488188976377953,127,2016-04-14
it-security,4.763485477178423,1446,2018-01-28
japanese-1,3.611111111111111,36,2020-05-18
java-programming,4.435828877005347,1122,2015-10-16
journalism,4.819536423841059,604,2016-08-15
kotlin-for-java-developers,4.557632398753894,321,2018-10-25
law-student,4.680412371134021,291,2015-11-10
leadership-21st-century,4.745762711864407,236,2015-10-03
leading-for-equity-diversity-inclusion,4.7105263157894735,38,2017-08-18
learn-chinese,4.796844181459566,3549,2015-08-07
learn-korean,4.869848156182212,5993,2016-02-09
learn-speak-korean1,4.896234309623431,1195,2016-07-27
learn-to-program,4.734966592427617,1347,2016-09-29
learning-how-to-learn,4.801196192401651,11871,2015-08-07
legal-tech-startups,4.386363636363637,44,2017-09-22
legaltech,4.968,125,2020-05-14
linear-algebra-machine-learning,4.57273280584297,1643,2018-03-08
love-social-justice,4.712328767123288,73,2017-10-02
machine-learning,4.739922694643843,12677,2015-08-07
machine-learning-business-professionals,4.574370709382151,874,2019-04-19
machine-learning-duke,4.655813953488372,215,2018-09-19
machine-learning-projects,4.7074718526100305,4885,2017-08-11
machine-learning-with-python,4.492443324937028,1588,2018-08-21
mafash,4.7112970711297075,956,2015-08-14
magic-middle-ages,4.54353562005277,379,2016-08-07
making-architecture,4.823275862068965,232,2016-10-05
manage-health-covid-19,4.818545697131421,1499,2020-03-28
managing-as-a-coach,4.73404255319149,282,2016-02-12
managing-human-resources,4.835942818243703,1469,2016-02-12
marketing-digital,4.725449335764522,3839,2015-08-07
marketing-gerencial,4.722745625841184,743,2016-10-10
mastering-final-cut-pro,4.45945945945946,37,2020-02-25
mathematical-thinking,4.786036036036036,444,2017-01-11
mathematics-and-python,4.627403846153846,832,2016-02-09
matlab,4.811858974358974,3120,2016-04-30
mcmc-bayesian-statistics,4.757009345794392,107,2017-06-07
medical-neuroscience,4.904135338345864,532,2016-06-06
medical-research,4.925093632958801,267,2020-04-29
memoir-reader-relationship,4.258620689655173,58,2019-01-09
mental-health,4.614457831325301,83,2016-10-01
microbiome,4.7370517928286855,251,2015-08-09
microeconomics,4.8293333333333335,375,2016-06-21
mindshift,4.842684268426843,2727,2017-04-13
ml-foundations,4.487741456166419,2692,2015-09-23
model-thinking,4.772251308900524,382,2015-10-07
modern-art-ideas,4.780016792611251,1191,2015-09-03
modern-world,4.815175097276264,514,2015-08-28
modern-world-2,4.793103448275862,290,2015-09-02
money-banking,4.887719298245614,285,2016-09-18
moral-politics,4.871060171919771,698,2015-08-14
moralities,4.840909090909091,572,2016-07-25
motivate-people-teams,4.828644501278772,782,2015-09-15
multivariate-calculus-machine-learning,4.642241379310345,696,2018-03-12
music-business-foundations,4.856209150326797,459,2015-09-17
music-theory,4.263736263736264,182,2017-02-03
mythology,4.775743707093821,437,2016-02-26
nand2tetris2,4.956989247311828,93,2017-02-02
nanotechnology,4.84,450,2017-10-13
natural-language-processing-tensorflow,4.254062038404727,677,2019-06-20
negociacion,4.818181818181818,715,2015-08-10
negotiation,4.883429672447013,1038,2015-08-07
negotiation-skills,4.805507145346811,2869,2015-08-07
neural-networks-deep-learning,4.77123332248617,12292,2017-08-09
neurobiology,4.897435897435898,507,2016-10-09
neuroeconomics,4.612903225806452,279,2015-10-21
neuromarketing,4.648648648648648,518,2016-10-05
neuroscience-neuroimaging,4.639498432601881,319,2017-11-29
nlp-sequence-models,4.633866481223922,2876,2018-02-01
norms,4.6061381074168795,391,2016-06-23
nutricion-obesidad-sobrepeso,4.789231779382797,1523,2019-01-04
nutrition-pregnancy,4.763440860215054,465,2017-04-15
object-oriented-design,4.542553191489362,282,2017-09-22
object-oriented-java,4.66890756302521,1190,2015-09-15
oilandgas,4.823214285714286,1120,2016-01-07
open-source-tools-for-data-science,4.012816072047108,2887,2018-07-07
oralcavity,4.923913043478261,92,2017-09-27
organizational-behavior,4.826086956521739,460,2015-11-06
os-power-user,4.503410641200546,2199,2018-01-25
painting,4.921739130434783,460,2017-03-23
pap,4.870596959584724,2697,2015-10-07
pca-machine-learning,3.4482758620689653,522,2018-03-14
